lat_deg,lat_min,long_deg,long_min,bearing,speed
42,17.634399999999914,-83,-42.792199999999866,144.05,0.12
42,17.634399999999914,-83,-42.792199999999866,146.97,0.1
42,17.634399999999914,-83,-42.792199999999866,146.69,0.12
42,17.634399999999914,-83,-42.792199999999866,136.97,0.11
42,17.634399999999914,-83,-42.792199999999866,149.86,0.11
42,17.634399999999914,-83,-42.792199999999866,140.74,0.12
42,17.634399999999914,-83,-42.792199999999866,136.53,0.1
42,17.634399999999914,-83,-42.792199999999866,143.52,0.13
42,17.634399999999914,-83,-42.792199999999866,141.91,0.11
42,17.634399999999914,-83,-42.792199999999866,140.24,0.11
42,17.634399999999914,-83,-42.792199999999866,143.32,0.12
42,17.634500000000116,-83,-42.792199999999866,132.1,0.11
42,17.634500000000116,-83,-42.792199999999866,142.47,0.12
42,17.634500000000116,-83,-42.792199999999866,143.68,0.12
42,17.634500000000116,-83,-42.792199999999866,133.84,0.09
42,17.634500000000116,-83,-42.792199999999866,140.1,0.12
42,17.634500000000116,-83,-42.792199999999866,137.18,0.1
42,17.634500000000116,-83,-42.792199999999866,139.55,0.12
42,17.634500000000116,-83,-42.792199999999866,139.32,0.11
42,17.634500000000116,-83,-42.792199999999866,140.29,0.12
42,17.634500000000116,-83,-42.792199999999866,136.61,0.12
42,17.634500000000116,-83,-42.792199999999866,140.04,0.11
42,17.634500000000116,-83,-42.792199999999866,141.67,0.11
42,17.634500000000116,-83,-42.792199999999866,144.34,0.1
42,17.634500000000116,-83,-42.792199999999866,135.97,0.11
42,17.634500000000116,-83,-42.792199999999866,137.3,0.12
42,17.63460000000032,-83,-42.792199999999866,144.45,0.09
42,17.63460000000032,-83,-42.792199999999866,143.83,0.1
42,17.63460000000032,-83,-42.792199999999866,137.44,0.1
42,17.63460000000032,-83,-42.792199999999866,151.76,0.11
42,17.63460000000032,-83,-42.792199999999866,138.28,0.11
42,17.63460000000032,-83,-42.792199999999866,144.09,0.09
42,17.63460000000032,-83,-42.792199999999866,146.05,0.11
42,17.63460000000032,-83,-42.792199999999866,139.89,0.09
42,17.63460000000032,-83,-42.792199999999866,137.18,0.11
42,17.63460000000032,-83,-42.792199999999866,149.35,0.1
42,17.63460000000032,-83,-42.792199999999866,141.32,0.12
42,17.63460000000032,-83,-42.792199999999866,141.76,0.11
42,17.63460000000032,-83,-42.792199999999866,141.54,0.12
42,17.63460000000032,-83,-42.792199999999866,142.97,0.11
42,17.63460000000032,-83,-42.792199999999866,138.3,0.11
42,17.63460000000032,-83,-42.792199999999866,144.6,0.14
42,17.63460000000032,-83,-42.792199999999866,136.94,0.11
42,17.63460000000032,-83,-42.792199999999866,137.52,0.13
42,17.63460000000032,-83,-42.792199999999866,140.4,0.1
42,17.63460000000032,-83,-42.792199999999866,143.97,0.13
42,17.63460000000032,-83,-42.792199999999866,137.37,0.11
42,17.63460000000032,-83,-42.792199999999866,147.87,0.12
42,17.63460000000032,-83,-42.79210000000057,140.65,0.13
42,17.63460000000032,-83,-42.79210000000057,137.0,0.13
42,17.63460000000032,-83,-42.79210000000057,152.21,0.12
42,17.63460000000032,-83,-42.79210000000057,143.32,0.12
42,17.63460000000032,-83,-42.79210000000057,140.2,0.13
42,17.63460000000032,-83,-42.79210000000057,142.77,0.1
42,17.63460000000032,-83,-42.79210000000057,136.49,0.16
42,17.63460000000032,-83,-42.79210000000057,146.76,0.12
42,17.634500000000116,-83,-42.79210000000057,143.02,0.12
42,17.634500000000116,-83,-42.79210000000057,143.18,0.13
42,17.634500000000116,-83,-42.79210000000057,134.78,0.11
42,17.634500000000116,-83,-42.79210000000057,139.12,0.12
42,17.63460000000032,-83,-42.79210000000057,138.58,0.12
42,17.63460000000032,-83,-42.79210000000057,140.98,0.11
42,17.63460000000032,-83,-42.79210000000057,129.66,0.11
42,17.63460000000032,-83,-42.79210000000057,177.01,0.03
42,17.63460000000032,-83,-42.792199999999866,133.71,0.1
42,17.63460000000032,-83,-42.792199999999866,141.17,0.12
42,17.63460000000032,-83,-42.792199999999866,135.37,0.11
42,17.63469999999961,-83,-42.792199999999866,145.87,0.11
42,17.63469999999961,-83,-42.792199999999866,130.96,0.1
42,17.63469999999961,-83,-42.792199999999866,137.17,0.11
42,17.63469999999961,-83,-42.79229999999916,138.09,0.1
42,17.634799999999814,-83,-42.79229999999916,139.28,0.1
42,17.634799999999814,-83,-42.79229999999916,140.43,0.13
42,17.634799999999814,-83,-42.79229999999916,136.24,0.12
42,17.634799999999814,-83,-42.79229999999916,142.31,0.1
42,17.634799999999814,-83,-42.79229999999916,134.42,0.13
42,17.634799999999814,-83,-42.79229999999916,140.2,0.11
42,17.634900000000016,-83,-42.79240000000027,140.61,0.12
42,17.634900000000016,-83,-42.79240000000027,153.18,0.06
42,17.634900000000016,-83,-42.79240000000027,156.45,0.05
42,17.634900000000016,-83,-42.79249999999956,154.92,0.07
42,17.63500000000022,-83,-42.79249999999956,271.87,0.09
42,17.63500000000022,-83,-42.792600000000675,140.29,0.13
